City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lompoc,34.6391,-120.4579,285.81,87,20,7.6,US,1683628548
84,utrik,11.2278,169.8474,300.41,79,99,6.21,MH,1683628549
85,anadyr,64.75,177.4833,266.43,86,0,3.0,RU,1683628549
86,cockburn town,21.4612,-71.1419,299.8,77,3,7.87,TC,1683628549
87,tiksi,71.6872,128.8694,266.24,94,100,7.57,RU,1683628549
88,holualoa,19.6228,-155.9522,296.06,86,100,3.6,US,1683628549
89,wailua homesteads,22.0669,-159.378,295.59,86,75,7.2,US,1683628549
90,pajara,28.3504,-14.1076,296.88,58,0,10.16,ES,1683628550
91,greymouth,-42.4667,171.2,287.21,92,77,3.04,NZ,1683628550
92,chernigovka,44.3389,132.5728,282.53,33,99,2.16,RU,1683628550
93,viedma,-40.8135,-62.9967,285.38,52,100,3.78,AR,1683628482
94,hashtrud,37.4779,47.0508,295.13,19,22,6.64,IR,1683628550
95,yellowknife,62.456,-114.3525,275.44,100,20,2.06,CA,1683628908
96,gadzhiyevo,69.2551,33.3362,274.01,99,100,1.64,RU,1683628551
97,usinsk,65.9939,57.5281,274.33,100,100,4.95,RU,1683628551
98,new norfolk,-42.7826,147.0587,284.87,67,84,0.45,AU,1683628551
99,turkmenbasy,40.0222,52.9552,293.58,56,0,8.23,TM,1683628551
100,ribeira grande,38.5167,-28.7,291.37,88,75,2.57,PT,1683628551
101,masvingo,-20.0637,30.8277,298.47,34,5,3.51,ZW,1683628552
102,batticaloa,7.7102,81.6924,299.75,81,100,1.01,LK,1683628552
103,alofi,-19.0595,-169.9187,295.09,94,20,0.51,NU,1683628552
104,lianzhou,24.7811,112.3825,295.86,84,93,0.61,CN,1683628552
105,hermanus,-34.4187,19.2345,295.26,59,16,1.75,ZA,1683628552
106,cadale,2.7603,46.3222,302.53,70,95,10.51,SO,1683628553
107,talnakh,69.4865,88.3972,261.6,90,98,7.89,RU,1683628394
108,urucara,-2.5364,-57.76,297.36,97,98,0.17,BR,1683628553
109,anton lizardo,19.05,-95.9833,298.83,89,98,2.7,MX,1683628553
110,flying fish cove,-10.4217,105.6791,300.97,83,75,5.66,CX,1683628553
111,codrington,-38.2667,141.9667,286.56,77,100,3.37,AU,1683628554
112,ivins,37.1686,-113.6794,288.52,23,3,1.99,US,1683628554
113,les cayes,18.2,-73.75,298.01,81,100,1.46,HT,1683628554
114,sitka,57.0531,-135.33,279.09,75,0,0.0,US,1683628554
115,ma'rib,15.4591,45.3253,307.61,15,1,4.56,YE,1683628554
116,kapuskasing,49.4169,-82.4331,272.2,93,75,1.54,CA,1683628394
117,marquette,46.5333,-87.6335,274.84,86,58,1.23,US,1683628555
118,ola,59.5833,151.2833,276.01,84,67,1.02,RU,1683628259
119,san julian,21.0167,-102.1667,288.13,48,15,1.69,MX,1683628555
120,vorgashor,67.5833,63.95,272.83,99,100,4.88,RU,1683628555
121,malvan,16.0667,73.4667,303.1,74,65,6.54,IN,1683628555
122,lihue,21.9789,-159.3672,295.92,87,75,7.2,US,1683628294
123,margaret river,-33.95,115.0667,291.62,73,22,6.97,AU,1683628556
124,pontianak,-0.0333,109.3333,303.14,74,40,3.09,ID,1683628262
125,palapye,-22.546,27.1251,299.58,37,23,3.44,BW,1683628556
126,general mosconi,-23.1851,-62.303,290.63,78,100,1.19,AR,1683628557
127,sao vicente,-23.9631,-46.3919,298.86,26,23,1.7,BR,1683628273
128,mancio lima,-7.6142,-72.8958,293.36,99,96,0.96,BR,1683628557
129,haiku-pauwela,20.9219,-156.3051,295.95,77,0,4.12,US,1683628557
130,kamina,-8.7386,24.9906,300.84,38,70,2.05,CD,1683628557
131,guerrero negro,27.9769,-114.0611,288.03,79,98,7.98,MX,1683628558
132,angaur state,6.906,134.13,302.22,70,100,0.59,PW,1683628558
133,nova sintra,14.8667,-24.7167,293.67,80,0,8.43,CV,1683628558
134,acarau,-2.8856,-40.12,299.26,85,79,5.01,BR,1683628558
135,tame,6.461,-71.73,296.52,85,100,1.33,CO,1683628558
136,hobyo,5.3505,48.5268,304.03,63,29,10.73,SO,1683628558
137,keflavik,64.0049,-22.5624,285.1,93,75,1.54,IS,1683628559
138,avranches,48.6833,-1.3667,287.76,88,98,3.86,FR,1683628559
139,mariental,-24.6333,17.9667,299.62,18,0,2.65,NA,1683628559
140,belyy yar,53.6039,91.3903,300.09,16,0,5.0,RU,1683628559
141,waingapu,-9.6567,120.2641,299.46,82,60,5.84,ID,1683628560
142,queenstown,-31.8976,26.8753,295.02,28,0,0.54,ZA,1683628560
143,masterton,-40.9597,175.6575,290.31,91,100,3.02,NZ,1683628560
144,horta,38.5333,-28.6333,290.95,92,75,2.57,PT,1683628560
145,vargashi,55.3556,65.8467,284.74,24,12,3.52,RU,1683628560
146,taoudenni,22.6783,-3.9836,311.99,8,99,10.04,ML,1683628560
147,qaqortoq,60.7167,-46.0333,273.22,97,100,2.07,GL,1683628561
148,el granada,37.5027,-122.4694,285.34,90,100,1.54,US,1683628561
149,la passe,45.5549,-0.8967,289.28,86,98,7.82,FR,1683628561
150,raja,8.4596,25.678,312.68,21,100,1.29,SS,1683628561
151,punta arenas,-53.15,-70.9167,275.21,80,75,3.09,CL,1683628561
152,edinburgh of the seven seas,-37.0676,-12.3116,287.12,66,11,7.64,SH,1683628562
153,luderitz,-26.6481,15.1594,300.28,39,0,2.91,NA,1683628562
154,la ronge,55.1001,-105.2842,278.29,75,75,2.06,CA,1683628562
155,enewetak,11.3474,162.3373,300.68,80,100,7.54,MH,1683628562
156,tazovsky,67.4667,78.7,265.2,84,29,4.27,RU,1683628563
157,taoyuan city,24.9937,121.297,293.64,74,75,6.69,TW,1683628563
158,carnarvon,-24.8667,113.6333,296.55,71,4,3.65,AU,1683628563
159,williamsport,41.2412,-77.0011,285.27,69,40,2.57,US,1683628382
160,dudinka,69.4058,86.1778,261.83,88,100,6.6,RU,1683628336
161,homer,59.6425,-151.5483,277.09,72,100,7.2,US,1683628564
162,tura,25.5198,90.2201,308.13,20,0,3.13,IN,1683628564
163,kayangel,8.0823,134.7173,301.93,73,36,1.07,PW,1683628564
164,saipan,15.1355,145.701,300.73,100,20,3.58,MP,1683628564
165,port lincoln,-34.7333,135.8667,287.56,73,8,3.41,AU,1683628564
166,taguatinga,-12.3857,-46.5711,297.97,56,68,1.66,BR,1683628565
167,laurens,32.4502,-82.9165,293.87,92,0,0.0,US,1683628565
168,mazatlan,23.2167,-106.4167,295.88,61,0,2.06,MX,1683628565
169,la puebla de montalban,39.863,-4.3592,299.0,36,91,1.96,ES,1683628565
170,rakops,-21.0167,24.3333,301.21,25,0,4.01,BW,1683628565
171,rio grande,-32.035,-52.0986,288.21,78,0,4.68,BR,1683628566
172,udachny,66.4167,112.4,276.18,93,100,5.18,RU,1683628566
173,ajaccio,42.0,8.9167,292.18,68,0,5.14,FR,1683628566
174,kish,26.5578,54.0194,311.3,9,0,3.09,IR,1683628566
175,kodiak,57.79,-152.4072,277.88,93,100,7.72,US,1683628567
176,constantia,44.1833,28.65,286.53,80,100,5.55,RO,1683628567
177,invercargill,-46.4,168.35,281.49,95,100,1.34,NZ,1683628567
178,chinchilla,-26.75,150.6333,284.92,44,0,4.61,AU,1683628567
179,pandan,14.0453,124.1694,300.64,79,81,2.57,PH,1683628568
180,georgetown,5.4112,100.3354,306.12,58,20,4.63,MY,1683628274
181,lerwick,60.1545,-1.1494,283.15,98,100,1.67,GB,1683628568
182,nagqu,31.5,92.0,276.5,43,100,0.55,CN,1683628568
183,plastun,44.7561,136.2939,280.17,52,90,1.58,RU,1683628568
184,dadukou,26.5479,101.7054,307.91,11,66,8.31,CN,1683628568
185,zakynthos,37.7914,20.8953,293.83,60,75,2.57,GR,1683628569
186,polyarnyy,69.1989,33.4478,274.32,99,100,1.47,RU,1683628395
187,vila franca do campo,37.7167,-25.4333,291.38,89,100,1.93,PT,1683628569
188,baluseni,47.6667,26.8,286.23,62,98,2.5,RO,1683628569
189,tibati,6.4667,12.6333,303.65,47,100,1.55,CM,1683628569
